"week","exposure","NAP","humus","Beach","Richness"
1,10,0.045,0.05,1,11
1,10,-1.036,0.3,1,10
1,10,-1.336,0.1,1,13
1,10,0.616,0.15,1,11
1,10,-0.684,0.05,1,10
1,8,1.19,0.1,2,8
1,8,0.82,0.1,2,9
1,8,0.635,0.1,2,8
1,8,0.061,0.15,2,19
1,8,-1.334,0,2,17
2,11,-0.976,0.05,3,6
2,11,1.494,0,3,1
2,11,-0.201,0.1,3,4
2,11,-0.482,0.05,3,3
2,11,0.167,0.1,3,3
2,11,1.768,0.05,4,1
2,11,-0.03,0,4,3
2,11,0.46,0.05,4,3
2,11,1.367,0,4,1
2,11,-0.811,0,4,4
4,10,1.117,0,5,3
4,10,-0.503,0,5,22
4,10,0.729,0.1,5,6
4,10,1.627,0,5,0
4,10,0.054,0.1,5,6
3,11,-0.578,0,6,5
3,11,-0.348,0.05,6,4
3,11,2.222,0,6,1
3,11,-0.893,0.05,6,6
3,11,0.766,0,6,4
2,11,0.883,0.05,7,2
2,11,1.786,0.0125,7,1
2,11,1.375,0,7,1
2,11,-0.06,0,7,3
2,11,0.367,0,7,4
3,10,1.671,0,8,3
3,10,-0.375,0.1,8,5
3,10,-1.005,0,8,7
3,10,0.17,0,8,5
3,10,2.052,0,8,0
3,10,-0.356,0.05,9,7
3,10,0.094,0.2,9,11
3,10,-0.002,0,9,3
3,10,2.255,0.05,9,0
3,10,0.865,0,9,2
