"location" "date" "time" "site" "rl" "length_m" "barnacles" "distortionr_m" "age" "magic_thaums"
"E" "02/10/2024" "16:30:00" 1 "L" 57 0 2 7 745.680519502628
"E" "02/10/2024" "16:30:00" 1 "R" 36 0 9 19 639.696434423188
"E" "02/10/2024" "16:30:00" 2 "L" 56 0 18 24 669.88065485499
"E" "02/10/2024" "16:30:00" 2 "R" 22 1 9 9 214.457054420958
"E" "02/10/2024" "16:30:00" 3 "L" 64 0 1 12 718.493974205412
"E" "02/10/2024" "16:30:00" 3 "R" 19 1 1 6 218.66018098295
"E" "02/10/2024" "16:30:00" 4 "L" 38 0 1 13 470.17322581921
"E" "02/10/2024" "16:30:00" 4 "R" 22 0 6 7 122.369343277582
"E" "02/10/2024" "16:30:00" 5 "L" 45 1 2 8 547.737959631653
"E" "02/10/2024" "16:30:00" 5 "R" 17 0 4 18 107.132744101723
"E" "02/10/2024" "16:30:00" 6 "L" 50 0 38 26 600.145475695541
"E" "02/10/2024" "16:30:00" 6 "R" 31 1 12 5 223.446962450186
"E" "02/10/2024" "16:30:00" 7 "L" 44 6 1 4 512.165028299223
"E" "02/10/2024" "16:30:00" 7 "R" 34 0 3 25 378.516803566313
"E" "02/10/2024" "16:30:00" 8 "L" 54 0 2 42 750.084354010029
"E" "02/10/2024" "16:30:00" 8 "R" 29 0 17 5 553.41603571004
"E" "02/10/2024" "16:30:00" 9 "L" 53 3 4 48 644.93820731034
"E" "02/10/2024" "16:30:00" 9 "R" 19 0 14 20 430.521263570216
"E" "02/10/2024" "16:30:00" 10 "L" 53 0 29 21 776.351931120755
"E" "02/10/2024" "16:30:00" 10 "R" 28 0 20 24 699.277742853283
"W" "08/10/2023" "14:40:00" 1 "L" 29 0 7 12 436.434383180968
"W" "08/10/2023" "14:40:00" 1 "R" 35 4 4 21 461.559930961602
"W" "08/10/2023" "14:40:00" 2 "L" 50 0 17 18 519.35563197925
"W" "08/10/2023" "14:40:00" 2 "R" 24 0 11 11 487.069988961161
"W" "08/10/2023" "14:40:00" 3 "L" 43 1 1 21 544.576309084806
"W" "08/10/2023" "14:40:00" 3 "R" 42 0 6 15 613.538525304458
"W" "08/10/2023" "14:40:00" 4 "L" 45 0 93 21 672.97201202031
"W" "08/10/2023" "14:40:00" 4 "R" 26 0 36 15 297.41763931533
"W" "08/10/2023" "14:40:00" 5 "L" 25 1 24 6 102.622405693118
"W" "08/10/2023" "14:40:00" 5 "R" 22 0 25 10 381.307585443176
"W" "08/10/2023" "14:40:00" 6 "L" 32 1 10 16 554.875500464873
"W" "08/10/2023" "14:40:00" 6 "R" 19 0 10 17 358.478208739838
"W" "08/10/2023" "14:40:00" 7 "L" 46 6 27 19 500.186535556967
"W" "08/10/2023" "14:40:00" 7 "R" 29 1 7 20 418.521437060685
"W" "08/10/2023" "14:40:00" 8 "L" 36 2 14 15 613.587099067478
"W" "08/10/2023" "14:40:00" 8 "R" 16 7 23 23 322.110689183315
"W" "08/10/2023" "14:40:00" 9 "L" 56 0 8 29 618.721931659601
"W" "08/10/2023" "14:40:00" 9 "R" 25 0 5 25 344.763679631316
"W" "08/10/2023" "14:40:00" 10 "L" 40 0 20 10 392.159206010239
"W" "08/10/2023" "14:40:00" 10 "R" 32 1 14 20 338.042620016262
"E" "07/10/2024" "11:32:00" 1 "L" 40 0 50 14 546.486465004739
"E" "07/10/2024" "11:32:00" 1 "R" 20 0 0 26 322.029009179076
"E" "07/10/2024" "11:32:00" 2 "L" 36 0 17 26 526.650192117932
"E" "07/10/2024" "11:32:00" 2 "R" 21 0 64 21 260.563199533176
"E" "07/10/2024" "11:32:00" 3 "L" 32 0 55 30 409.356926950736
"E" "07/10/2024" "11:32:00" 3 "R" 16 0 110 22 449.52510086214
"E" "07/10/2024" "11:32:00" 4 "L" 36 0 61 13 405.789398481819
"E" "07/10/2024" "11:32:00" 4 "R" 22 0 12 26 201.136238762587
"E" "07/10/2024" "11:32:00" 5 "L" 44 0 118 23 429.031207775762
"E" "07/10/2024" "11:32:00" 5 "R" 24 0 110 14 221.73827260552
"E" "07/10/2024" "11:32:00" 6 "L" 31 0 1 26 536.26633802965
"E" "07/10/2024" "11:32:00" 6 "R" 26 18 126 24 275.376491556159
"E" "07/10/2024" "11:32:00" 7 "L" 36 44 37 21 251.068134597584
"E" "07/10/2024" "11:32:00" 7 "R" 25 0 31 18 352.480946200387
"E" "07/10/2024" "11:32:00" 8 "L" 30 4 35 21 422.555413348801
"E" "07/10/2024" "11:32:00" 8 "R" 16 0 78 23 313.264930222566
"E" "07/10/2024" "11:32:00" 9 "L" 29 0 11 9 355.38768249201
"E" "07/10/2024" "11:32:00" 9 "R" 24 0 31 8 463.639697137351
"E" "07/10/2024" "11:32:00" 10 "L" 32 28 0 26 329.808153253165
"E" "07/10/2024" "11:32:00" 10 "R" 13 0 71 20 230.200776643506
"W" "29/09/2024" "13:30:00" 1 "L" 60 4 7 26 549.060594690358
"W" "29/09/2024" "13:30:00" 1 "R" 53 0 4 9 769.397769392389
"W" "29/09/2024" "13:30:00" 2 "L" 59 2 1 1 457.412839652901
"W" "29/09/2024" "13:30:00" 2 "R" 35 1 24 20 383.348869518364
"W" "29/09/2024" "13:30:00" 3 "L" 58 1 20 10 727.016166822381
"W" "29/09/2024" "13:30:00" 3 "R" 32 0 25 12 353.999378772647
"W" "29/09/2024" "13:30:00" 4 "L" 55 0 4 4 558.781351392567
"W" "29/09/2024" "13:30:00" 4 "R" 32 0 42 11 402.683227454853
"W" "29/09/2024" "13:30:00" 5 "L" 60 0 10 6 861.475537725524
"W" "29/09/2024" "13:30:00" 5 "R" 7 0 25 26 220.87375499279
"W" "29/09/2024" "13:30:00" 6 "L" 49 0 57 31 722.858559955586
"W" "29/09/2024" "13:30:00" 6 "R" 43 4 17 28 407.246355075577
"W" "29/09/2024" "13:30:00" 7 "L" 48 0 2 8 672.891835077273
"W" "29/09/2024" "13:30:00" 7 "R" 32 0 7 48 491.402664799117
"W" "29/09/2024" "13:30:00" 8 "L" 62 2 44 16 737.158348913142
"W" "29/09/2024" "13:30:00" 8 "R" 39 19 35 8 478.461391414444
"W" "29/09/2024" "13:30:00" 9 "L" 44 4 33 37 621.162697359317
"W" "29/09/2024" "13:30:00" 9 "R" 29 0 34 7 281.123318607661
"W" "29/09/2024" "13:30:00" 10 "L" 45 0 12 23 639.23182085954
"W" "29/09/2024" "13:30:00" 10 "R" 26 0 20 10 237.978964330197
"E" "28/09/2024" "14:46:00" 1 "L" 50 5 10 40 743.114859274441
"E" "28/09/2024" "14:46:00" 1 "R" 40 1 1 20 386.636957999182
"E" "28/09/2024" "14:46:00" 2 "L" 52 0 15 10 658.82869780934
"E" "28/09/2024" "14:46:00" 2 "R" 40 0 6 25 513.241145213059
"E" "28/09/2024" "14:46:00" 3 "L" 58 0 8 25 599.181250780496
"E" "28/09/2024" "14:46:00" 3 "R" 50 0 20 10 652.127474778055
"E" "28/09/2024" "14:46:00" 4 "L" 65 0 10 12 831.861887063366
"E" "28/09/2024" "14:46:00" 4 "R" 10 0 3 6 199.632758832704
"E" "28/09/2024" "14:46:00" 5 "L" 45 6 4 16 665.362886191818
"E" "28/09/2024" "14:46:00" 5 "R" 22 0 23 13 320.893851578132
"E" "28/09/2024" "14:46:00" 6 "L" 51 1 0 45 418.287659177318
"E" "28/09/2024" "14:46:00" 6 "R" 33 0 30 34 503.961286431521
"E" "28/09/2024" "14:46:00" 7 "L" 57 0 3 50 503.745902952628
"E" "28/09/2024" "14:46:00" 7 "R" 9 0 5 10 66.584469915704
"E" "28/09/2024" "14:46:00" 8 "L" 35 0 5 25 520.791623641213
"E" "28/09/2024" "14:46:00" 8 "R" 28 0 26 17 338.695604759981
"E" "28/09/2024" "14:46:00" 9 "L" 42 0 3 4 465.950383903731
"E" "28/09/2024" "14:46:00" 9 "R" 32 0 20 16 441.947246342415
"E" "28/09/2024" "14:46:00" 10 "L" 43 0 64 39 474.277232112555
"E" "28/09/2024" "14:46:00" 10 "R" 37 0 43 19 467.729497064747
"E" "02/08/2024" "17:28:00" 1 "L" 42 0 48 10 525.413161843734
"E" "02/08/2024" "17:28:00" 1 "R" 29 0 96 22 339.972300546602
"E" "02/08/2024" "17:28:00" 2 "L" 54 0 35 9 555.655617712379
"E" "02/08/2024" "17:28:00" 2 "R" 30 0 23 20 400.841802378584
"E" "02/08/2024" "17:28:00" 3 "L" 45 0 38 30 557.293299987105
"E" "02/08/2024" "17:28:00" 3 "R" 22 0 34 38 443.537266271763
"E" "02/08/2024" "17:28:00" 4 "L" 57 0 50 26 814.516372438495
"E" "02/08/2024" "17:28:00" 4 "R" 48 0 40 22 674.721558333055
"E" "02/08/2024" "17:28:00" 5 "L" 49 0 34 23 625.417653638887
"E" "02/08/2024" "17:28:00" 5 "R" 31 0 26 32 295.231642658026
"E" "02/08/2024" "17:28:00" 6 "L" 47 4 31 22 725.148519349282
"E" "02/08/2024" "17:28:00" 6 "R" 37 3 59 14 308.955860350282
"E" "02/08/2024" "17:28:00" 7 "L" 46 0 35 23 502.667358051596
"E" "02/08/2024" "17:28:00" 7 "R" 25 0 49 7 422.622167557959
"E" "02/08/2024" "17:28:00" 8 "L" 42 3 37 42 604.956159000902
"E" "02/08/2024" "17:28:00" 8 "R" 26 1 52 18 456.064842341702
"E" "02/08/2024" "17:28:00" 9 "L" 46 0 46 42 475.720760021136
"E" "02/08/2024" "17:28:00" 9 "R" 15 0 23 18 202.328902177184
"E" "02/08/2024" "17:28:00" 10 "L" 25 0 96 22 305.748952801664
"E" "02/08/2024" "17:28:00" 10 "R" 18 0 186 24 186.271485304536
"W" "06/10/2024" "10:10:00" 1 "L" 44 0 23 15 585.358286531123
"W" "06/10/2024" "10:10:00" 1 "R" 32 0 4 28 438.578905687796
"W" "06/10/2024" "10:10:00" 2 "L" 40 0 5 11 580.350290354943
"W" "06/10/2024" "10:10:00" 2 "R" 18 0 34 8 212.191098938229
"W" "06/10/2024" "10:10:00" 3 "L" 49 0 58 26 626.079644149154
"W" "06/10/2024" "10:10:00" 3 "R" 12 0 15 28 202.319669664854
"W" "06/10/2024" "10:10:00" 4 "L" 30 5 0 4 321.391490504115
"W" "06/10/2024" "10:10:00" 4 "R" 27 0 1 22 552.467269302403
"W" "06/10/2024" "10:10:00" 5 "L" 41 0 13 12 642.233305463508
"W" "06/10/2024" "10:10:00" 5 "R" 14 0 14 11 44.5134763927775
"W" "06/10/2024" "10:10:00" 6 "L" 46 15 6 15 473.176759111666
"W" "06/10/2024" "10:10:00" 6 "R" 29 0 3 34 249.075845717443
"W" "06/10/2024" "10:10:00" 7 "L" 48 0 2 11 391.649611441356
"W" "06/10/2024" "10:10:00" 7 "R" 22 0 3 21 310.012524590916
"W" "06/10/2024" "10:10:00" 8 "L" 44 2 2 19 402.131976229517
"W" "06/10/2024" "10:10:00" 8 "R" 31 0 7 22 307.547238342942
"W" "06/10/2024" "10:10:00" 9 "L" 54 13 6 36 608.432980046691
"W" "06/10/2024" "10:10:00" 9 "R" 27 1 0 23 375.180239356093
"W" "06/10/2024" "10:10:00" 10 "L" 47 0 35 7 618.654206567414
"W" "06/10/2024" "10:10:00" 10 "R" 31 0 18 21 543.306513752935
"E" "03/10/2024" "17:15:00" 1 "L" 43 2 0 40 772.099086595247
"E" "02/10/2024" "17:15:00" 1 "R" 24 0 2 16 367.476506019286
"E" "05/10/2024" "17:15:00" 2 "L" 53 5 30 20 719.930714800847
"E" "04/10/2024" "17:15:00" 2 "R" 29 15 35 12 481.221506439677
"E" "07/10/2024" "17:15:00" 3 "L" 48 1 20 9 522.702946892978
"E" "06/10/2024" "17:15:00" 3 "R" 24 10 13 3 342.252920093034
"E" "09/10/2024" "17:15:00" 4 "L" 61 9 0 10 843.359479947721
"E" "08/10/2024" "17:15:00" 4 "R" 40 0 0 39 430.304569077813
"E" "11/10/2024" "17:15:00" 5 "L" 43 0 1 26 472.860738742261
"E" "10/10/2024" "17:15:00" 5 "R" 40 0 3 11 360.066531742187
"E" "13/10/2024" "17:15:00" 6 "L" 49 0 5 25 583.179974907348
"E" "12/10/2024" "17:15:00" 6 "R" 32 0 40 6 568.970343101244
"E" "15/10/2024" "17:15:00" 7 "L" 49 1 28 15 457.628376779473
"E" "14/10/2024" "17:15:00" 7 "R" 25 0 40 22 341.532375285645
"E" "17/10/2024" "17:15:00" 8 "L" 43 0 6 14 644.336513408849
"E" "16/10/2024" "17:15:00" 8 "R" 42 12 10 35 596.109271261386
"E" "19/10/2024" "17:15:00" 9 "L" 50 1 10 29 603.984265539705
"E" "18/10/2024" "17:15:00" 9 "R" 42 1 25 15 616.400980051684
"E" "21/10/2024" "17:15:00" 10 "L" 45 0 19 50 474.672799327608
"E" "20/10/2024" "17:15:00" 10 "R" 40 3 0 25 219.019897278418
"W" "30/09/2024" "15:34:00" 1 "L" 44 1 10 34 660.019985058115
"W" "30/09/2024" "15:34:00" 1 "R" 20 0 60 10 256.982481937317
"W" "30/09/2024" "15:34:00" 2 "L" 58 0 13 14 575.589089249496
"W" "30/09/2024" "15:34:00" 2 "R" 29 0 8 6 464.131838799506
"W" "30/09/2024" "15:34:00" 3 "L" 42 0 4 36 506.745346968018
"W" "30/09/2024" "15:34:00" 3 "R" 25 0 27 33 443.459234981749
"W" "30/09/2024" "15:34:00" 4 "L" 39 0 8 17 502.318931917127
"W" "30/09/2024" "15:34:00" 4 "R" 15 0 68 23 226.281801498347
"W" "30/09/2024" "15:34:00" 5 "L" 56 0 6 30 802.044256242642
"W" "30/09/2024" "15:34:00" 5 "R" 22 0 0 29 222.315536947267
"W" "30/09/2024" "15:34:00" 6 "L" 34 4 10 9 378.431393562351
"W" "30/09/2024" "15:34:00" 6 "R" 14 0 53 12 147.31170162887
"W" "30/09/2024" "15:34:00" 7 "L" 40 5 7 37 359.634752763948
"W" "30/09/2024" "15:34:00" 7 "R" 16 0 0 22 124.069052008903
"W" "30/09/2024" "15:34:00" 8 "L" 57 0 2 28 851.135792768059
"W" "30/09/2024" "15:34:00" 8 "R" 9 0 48 11 187.241626042301
"W" "30/09/2024" "15:34:00" 9 "L" 34 0 12 15 390.742908556485
"W" "30/09/2024" "15:34:00" 9 "R" 23 0 65 16 329.727413077802
"W" "30/09/2024" "15:34:00" 10 "L" 58 0 19 21 742.977650577956
"W" "30/09/2024" "15:34:00" 10 "R" 37 10 1 13 625.252813484184
"W" "02/10/2024" "16:00:00" 1 "L" 44 1 20 31 385.863724545159
"W" "02/10/2024" "16:00:00" 1 "R" 37 0 0 20 260.801394755682
"W" "02/10/2024" "16:00:00" 2 "L" 45 2 1 15 511.991403036238
"W" "02/10/2024" "16:00:00" 2 "R" 24 0 26 16 299.558119935831
"W" "02/10/2024" "16:00:00" 3 "L" 36 0 1 33 575.053362862525
"W" "02/10/2024" "16:00:00" 3 "R" 33 0 14 21 438.531603902947
"W" "02/10/2024" "16:00:00" 4 "L" 55 0 20 38 735.434329896837
"W" "02/10/2024" "16:00:00" 4 "R" 35 1 66 15 378.191682286994
"W" "02/10/2024" "16:00:00" 5 "L" 47 4 32 26 587.552045118071
"W" "02/10/2024" "16:00:00" 5 "R" 24 0 7 9 299.402115669021
"W" "02/10/2024" "16:00:00" 6 "L" 45 1 12 16 366.281454676767
"W" "02/10/2024" "16:00:00" 6 "R" 34 0 0 22 547.915125655951
"W" "02/10/2024" "16:00:00" 7 "L" 40 2 55 19 617.300094686718
"W" "02/10/2024" "16:00:00" 7 "R" 28 3 14 11 270.084845157471
"W" "02/10/2024" "16:00:00" 8 "L" 44 1 0 33 520.964456005252
"W" "02/10/2024" "16:00:00" 8 "R" 24 0 18 21 361.693376982838
"W" "02/10/2024" "16:00:00" 9 "L" 48 0 45 11 571.107133808242
"W" "02/10/2024" "16:00:00" 9 "R" 45 27 8 22 637.662098646579
"W" "02/10/2024" "16:00:00" 10 "L" 29 0 30 17 542.683704946803
"W" "02/10/2024" "16:00:00" 10 "R" 27 0 18 14 242.94813145078
"E" "30/09/2024" "14:40:00" 1 "L" 55 10 2 29 617.754132449339
"E" "30/09/2024" "14:40:00" 1 "R" 36 2 54 41 628.264641134454
"E" "30/09/2024" "14:40:00" 2 "L" 60 1 11 7 770.817092769413
"E" "30/09/2024" "14:40:00" 2 "R" 46 0 1 24 599.391472783473
"E" "30/09/2024" "14:40:00" 3 "L" 47 0 0 39 616.371971567501
"E" "30/09/2024" "14:40:00" 3 "R" 39 0 2 16 579.800536965021
"E" "30/09/2024" "14:40:00" 4 "L" 46 0 4 23 593.184700208525
"E" "30/09/2024" "14:40:00" 4 "R" 35 1 75 11 509.392659095324
"E" "30/09/2024" "14:40:00" 5 "L" 50 2 42 11 543.182581538811
"E" "30/09/2024" "14:40:00" 5 "R" 33 0 79 30 318.762815054036
"E" "30/09/2024" "14:40:00" 6 "L" 48 1 10 38 726.242880776557
"E" "30/09/2024" "14:40:00" 6 "R" 51 2 7 12 647.729822189647
"E" "30/09/2024" "14:40:00" 7 "L" 53 0 46 22 599.535183336315
"E" "30/09/2024" "14:40:00" 7 "R" 34 0 44 19 318.687979687435
"E" "30/09/2024" "14:40:00" 8 "L" 54 0 20 17 666.362451060896
"E" "30/09/2024" "14:40:00" 8 "R" 33 3 8 29 247.420733017086
"E" "30/09/2024" "14:40:00" 9 "L" 32 2 14 29 435.855760516129
"E" "30/09/2024" "14:40:00" 9 "R" 18 0 92 33 456.03871343829
"E" "30/09/2024" "14:40:00" 10 "L" 31 0 61 24 497.556537234954
"E" "30/09/2024" "14:40:00" 10 "R" 26 1 3 8 309.574207534868
"W" "29/09/2019" "16:00:00" 1 "L" 32 0 20 12 492.261712225034
"W" "29/09/2019" "16:00:00" 1 "R" 24 0 50 11 308.272966228993
"W" "29/09/2019" "16:00:00" 2 "L" 47 0 1 23 782.358739278934
"W" "29/09/2019" "16:00:00" 2 "R" 22 1 1 24 210.050837248321
"W" "29/09/2019" "16:00:00" 3 "L" 30 2 2 27 494.726293761508
"W" "29/09/2019" "16:00:00" 3 "R" 24 1 54 20 337.411559224021
"W" "29/09/2019" "16:00:00" 4 "L" 38 1 35 29 706.463365458433
"W" "29/09/2019" "16:00:00" 4 "R" 32 0 25 12 650.533592263535
"W" "29/09/2019" "16:00:00" 5 "L" 35 0 70 30 455.638654818
"W" "29/09/2019" "16:00:00" 5 "R" 30 14 14 22 333.015336571327
"W" "29/09/2019" "16:00:00" 6 "L" 39 2 45 25 332.547861591476
"W" "29/09/2019" "16:00:00" 6 "R" 30 38 24 22 429.253015440458
"W" "29/09/2019" "16:00:00" 7 "L" 44 18 37 40 784.944544580051
"W" "29/09/2019" "16:00:00" 7 "R" 31 0 72 12 560.306630038351
"W" "29/09/2019" "16:00:00" 8 "L" 29 3 11 10 248.108597161383
"W" "29/09/2019" "16:00:00" 8 "R" 11 0 27 20 315.088987616943
"W" "29/09/2019" "16:00:00" 9 "L" 37 0 20 12 462.470891151196
"W" "29/09/2019" "16:00:00" 9 "R" 25 0 5 19 288.052294844892
"W" "29/09/2019" "16:00:00" 10 "L" 40 0 24 19 357.154069187103
"W" "29/09/2019" "16:00:00" 10 "R" 14 0 85 24 161.017736087403
"W" "29/09/2024" "16:00:00" 1 "L" 32 0 20 12 338.899153487013
"W" "29/09/2024" "16:00:00" 1 "R" 24 0 50 11 290.373430770397
"W" "29/09/2024" "16:00:00" 2 "L" 47 0 1 23 556.121977705777
"W" "29/09/2024" "16:00:00" 2 "R" 22 1 1 24 318.942278148092
"W" "29/09/2024" "16:00:00" 3 "L" 30 2 2 27 321.599660947869
"W" "29/09/2024" "16:00:00" 3 "R" 24 1 54 20 241.412011762021
"W" "29/09/2024" "16:00:00" 4 "L" 38 1 35 29 563.61810377387
"W" "29/09/2024" "16:00:00" 4 "R" 32 0 25 12 331.910254084904
"W" "29/09/2024" "16:00:00" 5 "L" 35 0 70 30 516.074673035695
"W" "29/09/2024" "16:00:00" 5 "R" 30 14 14 22 440.652290202581
"W" "29/09/2024" "16:00:00" 6 "L" 39 2 45 25 428.403361941114
"W" "29/09/2024" "16:00:00" 6 "R" 30 38 24 22 126.750133819851
"W" "29/09/2024" "16:00:00" 7 "L" 44 18 37 40 387.269114730992
"W" "29/09/2024" "16:00:00" 7 "R" 31 0 72 12 550.745528193413
"W" "29/09/2024" "16:00:00" 8 "L" 29 3 11 10 340.007181760436
"W" "29/09/2024" "16:00:00" 8 "R" 11 0 27 20 318.89613581335
"W" "29/09/2024" "16:00:00" 9 "L" 37 0 20 12 439.806438557996
"W" "29/09/2024" "16:00:00" 9 "R" 25 0 5 19 381.559490240926
"W" "29/09/2024" "16:00:00" 10 "L" 40 0 24 19 221.490690991542
"W" "29/09/2024" "16:00:00" 10 "R" 14 0 85 24 268.236669686929
"W" "30/09/2024" "15:00:00" 1 "L" 60 0 56 25 709.633456901088
"W" "30/09/2024" "15:00:00" 1 "R" 30 0 3 35 467.702685099022
"W" "30/09/2024" "15:00:00" 2 "L" 55 0 75 21 845.693652921959
"W" "30/09/2024" "15:00:00" 2 "R" 12 0 0 10 128.706080053991
"W" "30/09/2024" "15:00:00" 3 "L" 40 1 25 42 706.533247330738
"W" "30/09/2024" "15:00:00" 3 "R" 26 0 46 30 340.691687768144
"W" "30/09/2024" "15:00:00" 4 "L" 45 0 0 13 421.112606969247
"W" "30/09/2024" "15:00:00" 4 "R" 32 0 0 20 637.828409881613
"W" "30/09/2024" "15:00:00" 5 "L" 57 0 5 10 688.323629070443
"W" "30/09/2024" "15:00:00" 5 "R" 20 0 80 30 434.089023701226
"W" "30/09/2024" "15:00:00" 6 "L" 51 0 0 35 713.595772027347
"W" "30/09/2024" "15:00:00" 6 "R" 25 0 28 9 408.914520136078
"W" "30/09/2024" "15:00:00" 7 "L" 53 0 60 25 633.608246391384
"W" "30/09/2024" "15:00:00" 7 "R" 20 0 70 13 450.576969701739
"W" "30/09/2024" "15:00:00" 8 "L" 39 0 2 20 561.462401764164
"W" "30/09/2024" "15:00:00" 8 "R" 15 0 11 20 140.535169690102
"W" "30/09/2024" "15:00:00" 9 "L" 35 0 38 10 486.441599770822
"W" "30/09/2024" "15:00:00" 9 "R" 10 0 20 18 154.686995629174
"W" "30/09/2024" "15:00:00" 10 "L" 38 0 17 20 549.071423387848
"W" "30/09/2024" "15:00:00" 10 "R" 16 0 18 10 155.886287324373
"E" "02/10/2024" "17:08:00" 1 "L" 57 0 0 7 640.377223887528
"E" "02/10/2024" "17:08:00" 1 "R" 36 0 8 9 554.288702412692
"E" "02/10/2024" "17:08:00" 2 "L" 41 0 0 38 556.424217766763
"E" "02/10/2024" "17:08:00" 2 "R" 37 0 2 22 538.453571010655
"E" "02/10/2024" "17:08:00" 3 "L" 50 0 0 34 620.387690886277
"E" "02/10/2024" "17:08:00" 3 "R" 20 1 24 11 275.729776814511
"E" "02/10/2024" "17:08:00" 4 "L" 48 0 0 44 584.06770800173
"E" "02/10/2024" "17:08:00" 4 "R" 29 0 0 26 272.92602767154
"E" "02/10/2024" "17:08:00" 5 "L" 52 0 2 10 557.549770835311
"E" "02/10/2024" "17:08:00" 5 "R" 50 0 3 31 649.459060298306
"E" "02/10/2024" "17:08:00" 6 "L" 40 11 35 38 556.944880434023
"E" "02/10/2024" "17:08:00" 6 "R" 22 0 9 8 381.674979246405
"E" "02/10/2024" "17:08:00" 7 "L" 52 0 4 34 449.301875407771
"E" "02/10/2024" "17:08:00" 7 "R" 33 0 0 23 479.21202477098
"E" "02/10/2024" "17:08:00" 8 "L" 47 31 2 10 589.739123729458
"E" "02/10/2024" "17:08:00" 8 "R" 27 2 4 13 149.587198490923
"E" "02/10/2024" "17:08:00" 9 "L" 31 2 0 16 377.027598267629
"E" "02/10/2024" "17:08:00" 9 "R" 30 0 6 11 449.438346223905
"E" "02/10/2024" "17:08:00" 10 "L" 39 0 2 19 444.67655942296
"E" "02/10/2024" "17:08:00" 10 "R" 10 0 2 12 161.34579569946
"W" "28/09/2024" "13:42:00" 1 "L" 50 1 12 42 624.576320840259
"W" "28/09/2024" "13:42:00" 1 "R" 20 1 34 19 242.593562125066
"W" "28/09/2024" "13:42:00" 2 "L" 54 0 0 12 635.5866433741
"W" "28/09/2024" "13:42:00" 2 "R" 27 2 2 27 287.594958011143
"W" "28/09/2024" "13:42:00" 3 "L" 51 0 0 18 607.992904708342
"W" "28/09/2024" "13:42:00" 3 "R" 19 0 4 12 188.428146483018
"W" "28/09/2024" "13:42:00" 4 "L" 44 1 9 23 698.599479387787
"W" "28/09/2024" "13:42:00" 4 "R" 39 0 17 11 450.015771948052
"W" "28/09/2024" "13:42:00" 5 "L" 53 11 0 18 541.852825981495
"W" "28/09/2024" "13:42:00" 5 "R" 31 2 80 29 346.40964123132
"W" "28/09/2024" "13:42:00" 6 "L" 52 4 17 25 774.695910666838
"W" "28/09/2024" "13:42:00" 6 "R" 37 0 7 26 250.630147688512
"W" "28/09/2024" "13:42:00" 7 "L" 50 2 9 43 606.598300263511
"W" "28/09/2024" "13:42:00" 7 "R" 49 1 70 12 774.515765092321
"W" "28/09/2024" "13:42:00" 8 "L" 43 10 1 10 400.773631041924
"W" "28/09/2024" "13:42:00" 8 "R" 22 0 73 20 222.374899982054
"W" "28/09/2024" "13:42:00" 9 "L" 50 0 0 41 615.200902520611
"W" "28/09/2024" "13:42:00" 9 "R" 36 0 14 33 396.87287484117
"W" "28/09/2024" "13:42:00" 10 "L" 58 0 1 34 711.330594790374
"W" "28/09/2024" "13:42:00" 10 "R" 32 0 60 48 374.161122755707
"E" "29/09/2024" "14:07:00" 1 "L" 48 1 142 20 352.629633178734
"E" "29/09/2024" "14:07:00" 1 "R" 28 0 5 35 282.923251872141
"E" "29/09/2024" "14:07:00" 2 "L" 49 2 31 21 810.096138503835
"E" "29/09/2024" "14:07:00" 2 "R" 18 0 7 19 356.177087357016
