"times","accel","sunlight"
2.4,0,42.2397258587975
2.6,-1.3,8.20798422887398
3.2,-2.7,30.0534596673006
3.6,0,14.5720600422389
4,-2.7,15.763120372085
6.2,-2.7,6.31530982948277
6.6,-2.7,48.035835603338
6.8,-1.3,35.2786608533815
7.8,-2.7,2.39068526858361
8.2,-2.7,38.896519521749
8.8,-1.3,6.70400198136389
8.8,-2.7,2.52855676009196
9.6,-2.7,24.84592441726
10,-2.7,34.7155453737388
10.2,-5.4,8.93373089993124
10.6,-2.7,1.34920907798409
11,-5.4,7.59828080260496
11.4,0,8.34322975471094
13.2,-2.7,19.1301291541592
13.6,-2.7,21.1037798418707
13.8,0,20.4282295491527
14.6,-13.3,5.63506685961162
14.6,-5.4,11.5427609317761
14.6,-5.4,1.1738401880635
14.6,-9.3,5.691403372017
14.6,-16,4.37391859088859
14.6,-22.8,4.8256034379153
14.8,-2.7,1.17664598441726
15.4,-22.8,4.82002599934228
15.4,-32.1,14.2193653026852
15.4,-53.5,0.165328715911807
15.4,-54.9,36.6701357680118
15.6,-40.2,4.11390677827556
15.6,-21.5,3.78118340810556
15.8,-21.5,34.1915154161281
15.8,-50.8,17.7566971710156
16,-42.9,7.5000919700418
16,-26.8,27.0746454097877
16.2,-21.5,34.7685544961559
16.2,-50.8,9.95385646876158
16.2,-61.7,35.4546851422497
16.4,-5.4,29.9829367160923
16.4,-80.4,0.777360915499175
16.6,-59,2.79940216937406
16.8,-71,0.159754632579618
16.8,-91.1,3.62284939166146
16.8,-77.7,48.1772672580419
17.6,-37.5,3.71860533702313
17.6,-85.6,26.7612580237691
17.6,-123.1,35.232420317726
17.6,-101.9,6.83740782165184
17.8,-99.1,0.452366059741508
17.8,-104.4,9.93701786979848
18.6,-112.5,5.55620966228859
18.6,-50.8,53.7871601064308
19.2,-123.1,18.1557622937349
19.4,-85.6,1.837443301033
19.4,-72.3,48.303784809239
19.6,-127.2,14.9331406004527
20.2,-123.1,29.9673226761586
20.4,-117.9,6.98022157004485
21.2,-134,5.76653895780965
21.4,-101.9,17.3192056785024
21.8,-108.4,30.0299301190523
22,-123.1,27.388103756526
23.2,-123.1,1.29959277191776
23.4,-128.5,12.8866180007316
24,-112.5,20.8924541485332
24.2,-95.1,28.0863994421355
24.2,-81.8,26.99124549665
24.6,-53.5,5.7735222621205
25,-64.4,4.21287381409392
25,-57.6,6.58293749827469
25.4,-72.3,0.914488515203527
25.4,-44.3,3.44826114899843
25.6,-26.8,36.5569330279171
26,-5.4,1.95007990059494
26.2,-107.1,27.9472099057199
26.2,-21.5,24.5580985847831
26.4,-65.6,26.1817743430919
27,-16,29.6739786657747
27.2,-45.6,16.3416465972376
27.2,-24.2,20.3320152098411
27.2,9.5,8.80090082679713
27.6,4,9.58620124868048
28.2,12,8.68150281533447
28.4,-21.5,19.3287610244412
28.4,37.5,7.27947059085522
28.6,46.9,17.5005012005686
29.4,-17.4,0.679324912298469
30.2,36.2,5.39628445109219
31,75,13.8459332813293
31.2,8.1,5.77393597113776
32,54.9,10.3720420038038
32,48.2,14.1000568246532
32.8,46.9,3.6678142037401
33.4,16,25.4510098535833
33.8,45.6,15.5539312349805
34.4,1.3,13.1359835544819
34.8,75,24.2463511479112
35.2,-16,17.8220826502334
35.2,-54.9,3.55421375619286
35.4,69.6,7.92341042143513
35.6,34.8,5.81691958290877
35.6,32.1,2.90220275707867
36.2,-37.5,1.97228649305492
36.2,22.8,0.278072714800309
38,46.9,16.6219472744041
38,10.7,12.5558794119853
39.2,5.4,27.6737053984354
39.4,-1.3,2.930810039437
40,-21.5,30.5108477331953
40.4,-13.3,31.4185265856221
41.6,30.8,20.3029074924505
41.6,-10.7,48.7651193346632
42.4,29.4,19.3462365507069
42.8,0,40.0711182675456
42.8,-10.7,3.63099671514
43,14.7,14.6146787468962
44,-1.3,19.798844755617
44.4,0,15.8909937008167
45,10.7,25.1426333798537
46.6,10.7,8.14485076809176
47.8,-26.8,6.06417223007488
47.8,-14.7,9.98095789823804
48.8,-13.3,14.7303748706345
50.6,0,13.2277335862443
52,10.7,25.8921568907312
53.2,-14.7,24.0981364546188
55,-2.7,2.90831129172071
55,10.7,26.6343061887115
55.4,-2.7,21.7063208266608
57.6,10.7,7.77324745217369
